Skill,Length,UpPercent,Slope,1,2,3,4
Ok,30,-10,Low,10,64,129,172
Ok,30,-10,Medium,10,61,124,165
Ok,30,-10,High,10,59,119,158
Ok,30,-5,Low,10,67,136,181
Ok,30,-5,Medium,10,64,131,174
Ok,30,-5,High,10,61,126,167
Ok,30,-2,Low,10,71,143,190
Ok,30,-2,Medium,10,68,137,182
Ok,30,-2,High,10,65,132,175
Ok,30,0,Low,10,75,150,200
Ok,30,0,Medium,10,72,144,192
Ok,30,0,High,10,69,138,184
Ok,30,2,Low,10,77,155,206
Ok,30,2,Medium,10,74,149,198
Ok,30,2,High,10,71,143,190
Ok,30,5,Low,10,79,160,212
Ok,30,5,Medium,10,76,154,204
Ok,30,5,High,10,73,148,196
Ok,30,10,Low,10,81,165,218
Ok,30,10,Medium,10,78,158,209
Ok,30,10,High,10,75,152,201
Ok,40,-10,Low,5,61,103,172
Ok,40,-10,Medium,5,59,99,165
Ok,40,-10,High,5,57,95,158
Ok,40,-5,Low,5,64,108,181
Ok,40,-5,Medium,5,61,104,174
Ok,40,-5,High,5,59,100,167
Ok,40,-2,Low,5,67,114,190
Ok,40,-2,Medium,5,64,109,182
Ok,40,-2,High,5,61,105,175
Ok,40,0,Low,5,70,120,200
Ok,40,0,Medium,5,67,115,192
Ok,40,0,High,5,64,110,184
Ok,40,2,Low,5,72,124,206
Ok,40,2,Medium,5,69,119,198
Ok,40,2,High,5,66,114,190
Ok,40,5,Low,5,74,128,212
Ok,40,5,Medium,5,71,123,204
Ok,40,5,High,5,68,118,196
Ok,40,10,Low,5,76,132,218
Ok,40,10,Medium,5,73,127,209
Ok,40,10,High,5,70,122,201
Ok,60,-10,Low,2,56,103,172
Ok,60,-10,Medium,2,54,99,165
Ok,60,-10,High,2,52,95,158
Ok,60,-5,Low,2,59,108,181
Ok,60,-5,Medium,2,57,104,174
Ok,60,-5,High,2,55,100,167
Ok,60,-2,Low,2,62,114,190
Ok,60,-2,Medium,2,60,109,182
Ok,60,-2,High,2,58,105,175
Ok,60,0,Low,2,65,120,200
Ok,60,0,Medium,2,62,115,192
Ok,60,0,High,2,60,110,184
Ok,60,2,Low,2,67,124,206
Ok,60,2,Medium,2,64,119,198
Ok,60,2,High,2,61,114,190
Ok,60,5,Low,2,69,128,212
Ok,60,5,Medium,2,66,123,204
Ok,60,5,High,2,63,118,196
Ok,60,10,Low,2,71,132,218
Ok,60,10,Medium,2,68,127,209
Ok,60,10,High,2,65,122,201
Ok,80,-10,Low,1,47,103,172
Ok,80,-10,Medium,1,45,99,165
Ok,80,-10,High,1,43,95,158
Ok,80,-5,Low,1,49,108,181
Ok,80,-5,Medium,1,47,104,174
Ok,80,-5,High,1,45,100,167
Ok,80,-2,Low,1,52,114,190
Ok,80,-2,Medium,1,50,109,182
Ok,80,-2,High,1,48,105,175
Ok,80,0,Low,1,55,120,200
Ok,80,0,Medium,1,53,115,192
Ok,80,0,High,1,51,110,184
Ok,80,2,Low,1,57,124,206
Ok,80,2,Medium,1,55,119,198
Ok,80,2,High,1,53,114,190
Ok,80,5,Low,1,59,128,212
Ok,80,5,Medium,1,57,123,204
Ok,80,5,High,1,55,118,196
Ok,80,10,Low,1,61,132,218
Ok,80,10,Medium,1,59,127,209
Ok,80,10,High,1,57,122,201
Ok,100,-10,Low,1,44,103,172
Ok,100,-10,Medium,1,42,99,165
Ok,100,-10,High,1,40,95,158
Ok,100,-5,Low,1,46,108,181
Ok,100,-5,Medium,1,44,104,174
Ok,100,-5,High,1,42,100,167
Ok,100,-2,Low,1,48,114,190
Ok,100,-2,Medium,1,46,109,182
Ok,100,-2,High,1,44,105,175
Ok,100,0,Low,1,50,120,200
Ok,100,0,Medium,1,48,115,192
Ok,100,0,High,1,46,110,184
Ok,100,2,Low,1,52,124,206
Ok,100,2,Medium,1,50,119,198
Ok,100,2,High,1,48,114,190
Ok,100,5,Low,1,54,128,212
Ok,100,5,Medium,1,52,123,204
Ok,100,5,High,1,50,118,196
Ok,100,10,Low,1,56,132,218
Ok,100,10,Medium,1,54,127,209
Ok,100,10,High,1,52,122,201
Ok,150,-10,Low,1,39,68,172
Ok,150,-10,Medium,1,37,65,165
Ok,150,-10,High,1,36,62,158
Ok,150,-5,Low,1,41,72,181
Ok,150,-5,Medium,1,39,69,174
Ok,150,-5,High,1,37,66,167
Ok,150,-2,Low,1,43,76,190
Ok,150,-2,Medium,1,41,73,182
Ok,150,-2,High,1,39,70,175
Ok,150,0,Low,1,45,80,200
Ok,150,0,Medium,1,43,77,192
Ok,150,0,High,1,41,74,184
Ok,150,2,Low,1,46,82,206
Ok,150,2,Medium,1,44,79,198
Ok,150,2,High,1,42,76,190
Ok,150,5,Low,1,47,84,212
Ok,150,5,Medium,1,45,81,204
Ok,150,5,High,1,43,78,196
Ok,150,10,Low,1,48,87,218
Ok,150,10,Medium,1,46,84,209
Ok,150,10,High,1,44,81,201
Ok,200,-10,Low,1,39,68,172
Ok,200,-10,Medium,1,37,65,165
Ok,200,-10,High,1,36,62,158
Ok,200,-5,Low,1,41,72,181
Ok,200,-5,Medium,1,39,69,174
Ok,200,-5,High,1,37,66,167
Ok,200,-2,Low,1,43,76,190
Ok,200,-2,Medium,1,41,73,182
Ok,200,-2,High,1,39,70,175
Ok,200,0,Low,1,45,80,200
Ok,200,0,Medium,1,43,77,192
Ok,200,0,High,1,41,74,184
Ok,200,2,Low,1,46,82,206
Ok,200,2,Medium,1,44,79,198
Ok,200,2,High,1,42,76,190
Ok,200,5,Low,1,47,84,212
Ok,200,5,Medium,1,45,81,204
Ok,200,5,High,1,43,78,196
Ok,200,10,Low,1,48,87,218
Ok,200,10,Medium,1,46,84,209
Ok,200,10,High,1,44,81,201
