Skill,Length,UpPercent,Slope,1,2,3,4
Good,11,-5,Medium,30,100,131,174
Good,11,-5,High,29,96,126,167
Good,11,-2,Low,33,109,143,190
Good,11,-2,Medium,32,105,137,182
Good,11,-2,High,31,101,132,175
Good,11,0,Low,35,115,150,200
Good,11,0,Medium,34,110,144,192
Good,11,0,High,33,106,138,184
Good,11,2,Low,36,118,155,206
Good,11,2,Medium,35,113,149,198
Good,11,2,High,34,108,143,190
Good,11,5,Low,37,122,160,212
Good,11,5,Medium,36,117,154,204
Good,11,5,High,35,112,148,196
Good,11,10,Low,38,126,165,218
Good,11,10,Medium,36,121,158,209
Good,11,10,High,35,116,152,201
Good,12,-10,Low,27,99,129,172
Good,12,-10,Medium,26,95,124,165
Good,12,-10,High,25,91,119,158
Good,12,-5,Low,28,104,136,181
Good,12,-5,Medium,27,100,131,174
Good,12,-5,High,26,96,126,167
Good,12,-2,Low,29,109,143,190
Good,12,-2,Medium,28,105,137,182
Good,12,-2,High,27,101,132,175
Good,12,0,Low,31,115,150,200
Good,12,0,Medium,30,110,144,192
Good,12,0,High,29,106,138,184
Good,12,2,Low,32,118,155,206
Good,12,2,Medium,31,113,149,198
Good,12,2,High,30,108,143,190
Good,12,5,Low,33,122,160,212
Good,12,5,Medium,32,117,154,204
Good,12,5,High,31,112,148,196
Good,12,10,Low,34,126,165,218
Good,12,10,Medium,33,121,158,209
Good,12,10,High,32,116,152,201
Good,13,-10,Low,25,99,129,172
Good,13,-10,Medium,24,95,124,165
Good,13,-10,High,23,91,119,158
Good,13,-5,Low,26,104,136,181
Good,13,-5,Medium,25,100,131,174
Good,13,-5,High,24,96,126,167
Good,13,-2,Low,27,109,143,190
Good,13,-2,Medium,26,105,137,182
Good,13,-2,High,25,101,132,175
Good,13,0,Low,28,115,150,200
Good,13,0,Medium,27,110,144,192
Good,13,0,High,26,106,138,184
Good,13,2,Low,29,118,155,206
Good,13,2,Medium,28,113,149,198
Good,13,2,High,27,108,143,190
Good,13,5,Low,30,122,160,212
Good,13,5,Medium,29,117,154,204
Good,13,5,High,28,112,148,196
Good,13,10,Low,31,126,165,218
Good,13,10,Medium,30,121,158,209
Good,13,10,High,29,116,152,201
Good,15,-10,Low,21,95,129,172
Good,15,-10,Medium,20,91,124,165
Good,15,-10,High,19,87,119,158
Good,15,-5,Low,22,100,136,181
Good,15,-5,Medium,21,96,131,174
Good,15,-5,High,20,92,126,167
Good,15,-2,Low,23,105,143,190
Good,15,-2,Medium,22,101,137,182
Good,15,-2,High,21,97,132,175
Good,15,0,Low,24,110,150,200
Good,15,0,Medium,23,106,144,192
Good,15,0,High,22,102,138,184
Good,15,2,Low,25,113,155,206
Good,15,2,Medium,24,108,149,198
Good,15,2,High,23,104,143,190
Good,15,5,Low,26,116,160,212
Good,15,5,Medium,25,111,154,204
Good,15,5,High,24,107,148,196
Good,15,10,Low,27,119,165,218
Good,15,10,Medium,26,114,158,209
Good,15,10,High,25,109,152,201
Good,20,-10,Low,21,95,129,172
Good,20,-10,Medium,20,91,124,165
Good,20,-10,High,19,87,119,158
Good,20,-5,Low,22,100,136,181
Good,20,-5,Medium,21,96,131,174
Good,20,-5,High,20,92,126,167
Good,20,-2,Low,23,105,143,190
Good,20,-2,Medium,22,101,137,182
Good,20,-2,High,21,97,132,175
Good,20,0,Low,24,110,150,200
Good,20,0,Medium,23,106,144,192
Good,20,0,High,22,102,138,184
Good,20,2,Low,25,113,155,206
Good,20,2,Medium,24,108,149,198
Good,20,2,High,23,104,143,190
Good,20,5,Low,26,116,160,212
Good,20,5,Medium,25,111,154,204
Good,20,5,High,24,107,148,196
Good,20,10,Low,27,119,165,218
Good,20,10,Medium,26,114,158,209
Good,20,10,High,25,109,152,201
Good,25,-10,Low,15,90,129,172
Good,25,-10,Medium,14,86,124,165
Good,25,-10,High,13,83,119,158
Good,25,-5,Low,16,95,136,181
Good,25,-5,Medium,15,91,131,174
Good,25,-5,High,14,87,126,167
Good,25,-2,Low,17,100,143,190
Good,25,-2,Medium,16,96,137,182
Good,25,-2,High,15,92,132,175
Good,25,0,Low,18,105,150,200
Good,25,0,Medium,17,101,144,192
Good,25,0,High,16,97,138,184
Good,25,2,Low,19,108,155,206
Good,25,2,Medium,18,104,149,198
Good,25,2,High,17,100,143,190
Good,25,5,Low,20,111,160,212
Good,25,5,Medium,19,107,154,204
Good,25,5,High,18,103,148,196
Good,25,10,Low,21,114,165,218
Good,25,10,Medium,20,109,158,209
Good,25,10,High,19,105,152,201
Good,30,-10,Low,12,90,129,172
Good,30,-10,Medium,12,86,124,165
Good,30,-10,High,12,83,119,158
Good,30,-5,Low,13,95,136,181
Good,30,-5,Medium,12,91,131,174
Good,30,-5,High,12,87,126,167
Good,30,-2,Low,14,100,143,190
Good,30,-2,Medium,13,96,137,182
Good,30,-2,High,12,92,132,175
Good,30,0,Low,15,105,150,200
